date,max_temp,min_temp
2026-03-09,21.7,6.5
2026-03-10,20.9,5.0
2026-03-11,11.8,-2.8
2026-03-12,21.3,5.2
2026-03-13,22.4,4.6
2026-03-14,21.1,6.5
2026-03-15,15.1,-1.8
2026-03-16,15.3,0.1
